A-APE. 阶段周追踪漏斗 (APE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 预约=res_yw；签单=sign_yw；递交=submit_yw；批核=issue_yw(仅生效)；2026W01至最新周,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-件数. 未批核与待签分布—融资 (件数),,,,,,,,,,,,
📌 同F-APE；行顺序跟随APE子表,,,,,,,,,,,,
KEY ACCOUNT,2025-08,2025-10,2025-11,2025-12,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,合计
天领成都,0,0,0,0,0,0,0,0,0,2,0,2
平安银行,0,1,0,0,0,0,0,0,5,3,0,9
合计,0,1,0,0,0,0,0,0,5,5,0,11

G. 签批时效分析—2026批核 | TAT Analysis,,,,,,,
📌 status=生效 AND issue_year=2026；TAT=issue_date-sign_date(天)；SLA达标率=COUNT(tat≤60)/COUNT(*),,,,,,,
业务细分,件数,件均APE,平均时效(天),中位时效(天),P90时效(天),最大时效(天),SLA达标率≤60
天领业务,191,0,19.7,17.0,38.0,125,99.5%
成事家办,34,0,22.2,14.0,34.9,166,94.1%
BK业务,196,0,71.8,73.5,145.0,220,47.4%
同行经代,219,0,22.4,18.0,39.0,104,96.3%
永明经代,400,0,22.3,20.0,38.0,107,97.0%
合伙转介业务,26,0,28.7,20.0,36.5,244,96.2%
ICLUB业务,11,0,23.7,14.0,59.0,76,90.9%
IFA业务,0,,,,,,
合计,1157,0,30.2,20.0,72.0,244,88.9%

H. 签批时效分档—2026批核 | TAT Buckets,,,,
📌 分档：≤7天/8-14天/15-30天/31-60天/61-90天/>90天；status=生效 AND issue_year=2026,,,,
时效分档,件数,APE,件数占比,APE占比
≤7天,123,0,10.6%,0.0%
8-14天,258,0,22.3%,0.0%
15-30天,454,0,39.2%,0.0%
31-60天,193,0,16.7%,0.0%
61-90天,44,0,3.8%,0.0%
>90天,84,0,7.3%,0.0%
合计,1157,0,100.0%,100.0%

J-APE. 周度预约业绩—同行 (APE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
